frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected
1152,19.219,640.00,636.20,0.128485,-0.134419,-0.037885,0.236643,1.000000,GO STRAIGHT,1,1
1158,19.319,640.00,632.14,0.126291,-0.138575,-0.040218,0.237483,1.000000,GO STRAIGHT,1,1
1164,19.419,640.00,636.42,0.115421,-0.121021,-0.041336,0.238027,1.000000,GO STRAIGHT,1,1
1170,19.520,640.00,601.98,-0.014968,-0.044443,-0.029762,0.250000,1.000000,GO STRAIGHT,1,1
1176,19.620,640.00,606.37,-0.027785,-0.024768,-0.021428,0.250000,0.550000,GO STRAIGHT,1,0
1182,19.720,640.00,582.75,-0.081722,-0.007728,0.000000,0.232668,1.000000,TURN LEFT,1,1
1188,19.820,640.00,596.66,-0.028312,-0.039400,0.009807,0.240514,1.000000,GO STRAIGHT,1,1
1194,19.920,640.00,610.36,0.015162,-0.061478,0.007061,0.250000,1.000000,GO STRAIGHT,1,1
1200,20.020,640.00,619.49,0.034793,-0.066834,0.005084,0.250000,1.000000,GO STRAIGHT,1,1
1206,20.120,640.00,594.40,-0.046612,-0.024634,0.015863,0.238197,1.000000,GO STRAIGHT,1,1
1212,20.220,640.00,600.86,0.004894,-0.066044,0.011421,0.250000,1.000000,GO STRAIGHT,1,1
1218,20.320,640.00,606.99,0.038144,-0.089718,0.008223,0.250000,1.000000,GO STRAIGHT,1,1
1224,20.420,640.00,609.88,0.059495,-0.106552,0.005921,0.250000,1.000000,GO STRAIGHT,1,1
1230,20.521,640.00,606.32,0.081056,-0.133675,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1236,20.621,640.00,605.28,0.096323,-0.150568,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1242,20.721,640.00,604.65,0.108734,-0.163962,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1248,20.821,640.00,611.69,0.088786,-0.133019,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1254,20.921,640.00,608.48,0.091763,-0.141012,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1260,21.021,640.00,612.56,0.068401,-0.111276,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1266,21.121,640.00,613.12,0.064100,-0.106105,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1272,21.221,640.00,615.62,0.048795,-0.086890,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1278,21.321,640.00,616.62,0.033754,-0.070291,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
