frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
486,8.108,640.00,603.87,-0.030168,-0.026281,0.005521,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.038774,0.000000,0.662230
492,8.208,640.00,615.52,-0.021729,-0.016520,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.029028,0.000000,0.662230
498,8.308,640.00,618.87,-0.031168,-0.001854,0.000000,0.250000,0.985357,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.030974,0.000000,0.662230
504,8.408,640.00,619.48,-0.045183,0.013115,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.036246,0.000000,0.662230
510,8.508,640.00,609.71,-0.064137,0.016810,0.000000,0.250000,0.994852,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.049169,0.000000,0.662230
516,8.609,640.00,612.63,0.017791,-0.060564,0.000000,0.250000,0.971675,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.014804,0.000000,0.662230
522,8.709,640.00,621.37,0.061910,-0.091017,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.007627,0.000000,0.662230
528,8.809,640.00,621.39,0.097179,-0.126251,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.021747,0.000000,0.662230
534,8.909,640.00,627.39,0.133838,-0.153547,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.039688,0.000000,0.662230
540,9.009,640.00,606.84,0.059378,-0.111187,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.001332,0.000000,0.662230
